sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000360-2013-07,298.0,1194.0,0.102,0.241,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1053.0,355.0,56.0,22.0,4.0,0.109,10.391492600039982,1.146,0.18638914936369724,0.08388752333394196,0.149,0.04799999999999999,0.0,0.22451347860731286,2.7056643335839325,0.125161444046614,0.015665387075833686
MAC000360-2013-08,298.0,1194.0,0.108,0.273,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,957.0,409.0,92.0,31.0,4.0,0.131,4.607819461492751,0.999,0.20451038178164768,0.09501484354987262,0.163,0.055999999999999994,0.0,0.24328133873967506,1.949385965874364,0.13176233726863387,0.017361313522493222
MAC000360-2013-09,298.0,1194.0,0.104,0.311,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,913.0,388.0,137.0,39.0,12.0,0.17099999999999999,4.803027010722979,1.245,0.21959611520428665,0.12012491784613079,0.166,0.067,0.0,0.27393512635189865,1.8829600703308824,0.16376202134993428,0.02681799963661633
MAC000360-2013-10,298.0,1194.0,0.109,0.349,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,811.0,448.0,176.0,39.0,16.0,0.203,3.1129752711775938,1.064,0.24022906898861354,0.12703649493573269,0.185,0.082,0.0,0.2918176127122597,1.6198698965381673,0.16567291118932614,0.02744751350194635
MAC000360-2013-11,298.0,1194.0,0.098,0.37,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,831.0,404.0,190.0,45.0,12.0,0.21800000000000003,3.7837698425235846,1.219,0.238738111051574,0.140030415494859,0.173,0.08199999999999999,0.0,0.3014778996995199,1.6838931752083792,0.18410062014767925,0.03389303833876008
MAC000360-2013-12,298.0,1194.0,0.105,0.388,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,665.0,557.0,197.0,48.0,20.0,0.236,4.35292726131973,1.454,0.2659511051574012,0.13744302345978038,0.229,0.115,0.0,0.32175908519921925,1.6492069344162896,0.18110471714948612,0.03279891857379537
MAC000360-2014-01,298.0,1194.0,0.111,0.405,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,616.0,570.0,184.0,63.0,33.0,0.22999999999999998,4.328829254162566,1.42,0.28832886845277966,0.15479912335152793,0.237,0.11199999999999999,0.0,0.3600868992002064,1.8856430700757805,0.21570590764362324,0.04652903859235932
MAC000360-2014-02,298.0,1194.0,0.088,0.335,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,828.0,471.0,129.0,38.0,23.0,0.19699999999999998,3.5656299077982805,1.2640001,0.21819490964501,0.13654025469013917,0.176,0.089,0.0,0.2853972510837988,1.5677443748762203,0.18396350815092322,0.033842572331194795
MAC000361-2012-03,298.0,1194.0,0.0,0.071,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1322.0,86.0,50.0,17.0,9.0,0.059,17.828161577198426,1.474,0.07797655699933022,0.09355189994800475,0.027,0.027,0.0,0.18245886978997997,3.8327498230340256,0.16495725423141314,0.027210895723567066
MAC000361-2012-04,298.0,1194.0,0.019,0.185,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1209.0,138.0,71.0,29.0,29.0,0.07799999999999999,7.997814131238844,1.4220001,0.13017213670462158,0.1410470367540597,0.045,0.027,0.0,0.2487649214044585,2.7501891080392653,0.21198868117689615,0.04493920094711973
