sample_name,Absolute energy,Area under the curve,Autocorrelation,Centroid,Entropy,Mean absolute diff,Mean diff,Median absolute diff,Median diff,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Signal distance,Slope,Sum absolute diff,Total energy,Zero crossing rate
MAC000003-2014-02,772.3526257146004,5.279730003,772.3526257146004,4.638513649652944,0.7263179346480934,0.1513855424364123,-3.0789825970550154e-05,0.04,0.0,409.0,48.0,3.0,411.0,1564.0488674423689,-0.0004149388488908155,226.1700004,51.69696289923698,5.0
MAC000004-2012-05,6.222422999999999,0.3534499999999997,6.222422999999999,9.310162650465905,0.1526231067561185,0.044801874163319946,-7.431211677544555e-20,0.0,0.0,1.0,59.0,0.309,191.0,1499.9097583719922,2.1371605930814637e-05,66.934,0.41649417670682726,380.0
MAC000004-2012-06,8.715969,0.4660500000000003,8.715969,7.46138557514374,0.20889617632964166,0.05767871485943775,2.786704379079208e-19,0.0,0.0,5.0,77.0,0.834,245.0,1502.062006273693,-2.625442840523109e-06,86.172,0.5833981927710843,478.0
MAC000004-2012-07,8.151012,0.4579400000000008,8.151012,7.444238603746382,0.18808957970665996,0.05938420348058902,6.502310217851486e-19,0.0,0.0,1.0,84.0,0.464,253.0,1501.8818311953255,-9.852476635208546e-07,88.72,0.5455831325301205,506.0
MAC000004-2012-08,8.402138,0.47153499999999915,8.402138,7.595642945878774,0.20803265031862195,0.05964859437751004,-0.00010776439089692054,0.0,0.0,12.0,77.0,0.321,257.0,1501.9891632619926,-7.168588147234287e-07,89.11500000000001,0.5623921017402946,499.0
MAC000004-2012-09,8.60549,0.46904000000000007,8.60549,7.392608947311542,0.1988293341904369,0.059812583668005355,-2.3222536492326735e-19,0.0,0.0,11.0,75.0,0.305,255.0,1502.2267725231832,-1.9236102387120732e-06,89.36,0.5760033467202141,506.0
MAC000004-2012-10,14.199627,0.60833,14.199627000000003,6.127015678651278,0.24260391133082196,0.07013654618473895,4.458727006526733e-19,0.0,0.0,24.0,72.0,0.82,284.0,1504.3044661912766,-1.152834829382452e-05,104.784,0.9504435742971887,548.0
MAC000004-2012-11,11.532893999999999,0.5569799999999993,11.532894,7.467871514296411,0.22707321420543405,0.06991566265060241,6.502310217851486e-20,0.0,0.0,26.0,68.0,0.67,279.0,1504.433625237996,-1.8658936355297108e-06,104.45400000000001,0.7719473895582328,546.0
MAC000004-2012-12,13.659206213000012,0.6243000009999993,13.659206213000012,9.009683622928552,0.2615390512340921,0.07526238299866131,5.573408758158416e-19,0.0,0.0,34.0,63.0,1.0650001,316.0,1505.106355756026,1.377604585063555e-05,112.4420002,0.9142708308567612,606.0
MAC000004-2013-01,10.437838,0.5596800000000011,10.437838000000001,7.774832344590903,0.23134510271502678,0.07178313253012049,-2.972484671017822e-19,0.0,0.0,11.0,64.0,0.629,304.0,1503.834045167151,1.9210891102549825e-06,107.244,0.69865046854083,602.0
